id_venta,id_producto,nombre_producto,cantidad,precio_unitario,importe,Unnamed: 6
1,90,Toallas Húmedas x50,1.0,2902.0,2902.0,z-score
2,82,Aceitunas Negras 200g,5.0,2394.0,11970.0,
2,39,Helado Vainilla 1L,5.0,469.0,2345.0,
2,70,Fernet 750ml,2.0,4061.0,8122.0,
2,22,Medialunas de Manteca,1.0,2069.0,2069.0,
2,79,Hamburguesas Congeladas x4,4.0,2420.0,9680.0,
3,9,Yerba Mate Suave 1kg,2.0,3878.0,,
3,2,Pepsi 1.5L,2.0,4973.0,9946.0,
3,85,Jugo en Polvo Naranja,1.0,1856.0,1856.0,
4,4,Fanta Naranja 1.5L,2.0,2033.0,4066.0,
4,23,Bizcochos Salados,5.0,2380.0,11900.0,
5,86,Jugo en Polvo Limón,4.0,4090.0,16360.0,
6,25,Galletitas Vainilla,2.0,,8030.0,
6,31,Mix de Frutos Secos 200g,3.0,3409.0,10227.0,
6,83,Queso Untable 190g,1.0,1830.0,1830.0,
6,59,Chicle Menta,4.0,3612.0,14448.0,
7,63,Granola 250g,,4337.0,13011.0,
8,53,Lavandina 1L,5.0,1664.0,8320.0,
8,18,Queso Rallado 150g,4.0,3444.0,13776.0,
8,68,Vino Blanco 750ml,5.0,2684.0,13420.0,
9,65,Cerveza Rubia 1L,4.0,2423.0,9692.0,
10,36,Dulce de Leche 400g,2.0,2559.0,5118.0,
10,100,Trapo de Piso,4.0,4854.0,19416.0,
10,37,Mermelada de Durazno 400g,3.0,3196.0,9588.0,
10,62,Stevia 100 sobres,1.0,3848.0,3848.0,
11,13,Té Verde 20 saquitos,1.0,2383.0,2383.0,
11,65,Cerveza Rubia 1L,2.0,2423.0,4846.0,
11,28,Papas Fritas Clásicas 100g,1.0,936.0,936.0,
12,72,Ron 700ml,2.0,3876.0,7752.0,
12,50,Azúcar 1kg,2.0,727.0,1454.0,
12,56,Papel Higiénico x4,3.0,2532.0,7596.0,
12,87,Sopa Instantánea Pollo,3.0,1679.0,5037.0,
12,38,Mermelada de Frutilla 400g,4.0,1584.0,6336.0,
13,87,Sopa Instantánea Pollo,1.0,1679.0,1679.0,
13,81,Aceitunas Verdes 200g,3.0,2520.0,7560.0,
13,13,Té Verde 20 saquitos,1.0,2383.0,2383.0,
14,36,Dulce de Leche 400g,4.0,2559.0,10236.0,
14,72,Ron 700ml,5.0,3876.0,19380.0,
14,38,Mermelada de Frutilla 400g,3.0,1584.0,4752.0,
14,97,Limpiavidrios 500ml,1.0,872.0,872.0,
15,37,Mermelada de Durazno 400g,3.0,3196.0,9588.0,
16,35,Barrita de Cereal 30g,5.0,4430.0,22150.0,
17,81,Aceitunas Verdes 200g,5.0,2520.0,12600.0,
